Age,Club,Cond,Current Race Name,Dist,First,G ID,Grp,MeetDate,Prize$$,Registered Race Name,SECOND,Second,Sex,State,THIRD,Third,Unnamed: 11,Venue,WINNER
O,BRC,,MEMBERS' HANDICAP,1600,,622,4,2019-05-11,100000,MEMBERS' HANDICAP,,,O,QLD,,,Qlty,DOOM,
3-Y-O,BRC,,QUEENSLAND DAY STAKES,1200,,707,4,2019-05-11,100000,QUEENSLAND DAY STAKES,,,O,QLD,,,SW,DOOM,
3-Y-O,SAJC,,SA DERBY,2500,,26,1,2019-05-11,600000,SA DERBY,,,O,SA,,,SW,MORP,
2-Y-O,SAJC,,SIRES PRODUCE STAKES,1400,,466,3,2019-05-11,175000,SAJC SIRES' PRODUCE STAKES,,,O,SA,,,SW,MORPP,
3-Y-O,SAJC,,ADELAIDE GUINEAS,1600,,100,4,2019-05-11,150000,ADELAIDE GUINEAS,,,O,SA,,,SW,MORP,
3YO&Up,BRC,,ROUGH HABIT PLATE,1200,,624,3,2019-05-11,125000,ROUGH HABIT PLATE,,,F&M,QLD,,,Qlty,DOOM,
O,SCONE RC,,SCONE CUP,1600,,676,4,2019-05-10,200000,SCONE CUP,,,O,NSW,,,Qlty,SCNE,
3YO&Up,NORTHAM RC,,NORTHAM STAKES,1100,,748,3,2019-05-05,150000,NORTHAM STAKES,,,O,WA,,,SWP,NTHM,
O,GOLD COAST TC,,PRIME MINISTER'S CUP,1600,,615,4,2019-05-04,100000,PRIME MINISTER'S CUP,,,O,QLD,,,Qlty,GCST,
3YO&Up,GOLD COAST TC,,A D HOLLINDALE STAKES,1800,,589,2,2019-05-04,358000,A D HOLLINDALE STAKES,,,O,QLD,,,WFA,GCST,
O,GOLD COAST TC,,KEN RUSSELL MEMORIAL CL,1350,,436,3,2019-05-04,125000,KEN RUSSELL MEMORIAL CL,,,O,QLD,,,WFA,GCST,
3-Y-O,GOLD COAST TC,,GOLD COAST GUINEAS,1200,,687,3,2019-05-04,125000,GOLD COAST GUINEAS,,,O,QLD,,,SW,GCST,
O,GOLD COAST TC,,SILK STOCKING,1400,,616,4,2019-05-04,150000,SILK STOCKING,,,F&M,QLD,,,Qlty,GCST,
3-Y-O,GOLD COAST TC,,THE BRACELET,1200,,688,4,2019-05-04,125000,THE BRACELET,,,F,QLD,,,SW,GCST,
O,SAJC,,DC MCKAY STAKES,1100,,350,3,2019-05-04,120000,D C MCKAY STAKES,,,O,SA,,,Qlty,MORP,
O,SAJC,,UBET CLASSIC,1200,,495,1,2019-05-04,1000000,ROBERT SANGSTER STAKES,,,F&M,SA,,,WFA,MORP,
3-Y-O,SAJC,,SCHWEPPES OAKS,2000,,121,1,2019-05-04,500000,AUSTRALASIAN OAKS,,,F,SA,,,SW,MORP,
3-Y-O,SAJC,,EUCLASE STAKES,1200,,292,2,2019-05-04,250000,EUCLASE CLASSIC,,,O,SA,,,SW,MORP,
3YO&Up,SAJC,,QUEEN OF THE SOUTH STAKES,1600,,414,2,2019-05-04,175000,QUEEN OF THE SOUTH STAKES,,,F&M,SA,,,SWP,MORP,
2-Y-O,SAJC,,QUEEN ADELAIDE STAKES,1050,,411,4,2019-05-04,100000,QUEEN ADELAIDE STAKES,,,O,SA,,,SW,MORP,
3YO&Up,ATC,,LORD MAYOR'S CUP,2000,,392,4,2019-05-04,140000,LORD MAYOR'S CUP,,,O,NSW,,,Qlty,RHIL,
O,MURRUMBIDGEE TC,,WAGGA WAGGA GOLD CUP,2000,,530,4,2019-05-03,150000,WAGGA WAGGA GOLD CUP,,,O,NSW,,,Hcp,WAGG,
O,WRC,,WARRNAMBOOL CUP,2350,,715,4,2019-05-02,200000,WARRNAMBOOL CUP,,,O,VIC,,,Hcp,WARN,
O,WRC,,WANGOOM HCP,1200,,723,4,2019-05-01,150000,WANGOOM HCP,,,O,VIC,,,Hcp,WARN,
2-Y-O,BRC,,DALRELLO STAKES,1200,,719,4,2019-04-27,100000,DALRELLO STAKES,,,O,QLD,,,SW,E FM,
3YO&Up,HAWKESBURY RC,,HAWKESBURY GOLD CUP,1600,,297,3,2019-04-27,200000,HAWKESBURY GOLD CUP,,,O,NSW,,,Hcp,HAWK,
