MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,First,Second,Third
26/03/2011,100,4,SA,SAJC,MORP,ADELAIDE GUINEAS,1600,80000,3-Y-O,O,SW,ADELAIDE GUINEAS,BOOKLET,AINTNOFALLENSTAR,WILLOW CREEK
26/03/2011,250,4,SA,SAJC,MORP,MANIHI CLASSIC,1200,80000,O,O,Qlty,MANIHI CLASSIC,CONSERVATORIUM,DR DOUTE'S,MOTHERS MILK
26/03/2011,344,4,NSW,STC,RHIL,N E MANION QUALITY CUP,2400,100000,O,O,Qlty,N E MANION CUP,BID SPOTTER,ABOVE AVERAGE,STAND TO GAIN
26/03/2011,420,4,WA,WATC,ASCT,RACONTEUR STAKES,1400,80000,3-Y-O,O,SWP,RACONTEUR STKS,REIMBURSEMENT,OUR OL' FELLA,SPITFIRE ACE
26/03/2011,554,4,WA,WATC,ASCT,YORK STAKES,1600,80000,2YO&Up,O,Qlty,YORK HCP,SPECCIO,PROART,TARZI
26/03/2011,660,4,NSW,STC,RHIL,EPONA STAKES,1900,100000,3YO&Up,F&M,Qlty,EPONA STAKES,GALIZANI,VIVID VIXEN,VINTEDGE
26/03/2011,702,4,WA,WATC,ASCT,MATCHMAKER STAKES,1400,80000,3YO&Up,F&M,Qlty,MATCHMAKER STKS,NEW IMAGE,MABEL GRACE,SEE A VICTORY
27/03/2011,186,2,NSW,AJC,W FM,CHALLENGE STAKES,1000,175000,O,O,WFA,AJC CHALLENGE STAKES,HAY LIST,KEEN COMMANDER,SOLAR CHARGED
31/03/2011,513,4,QLD,TOO TC,TWBA,TOOWOOMBA CUP,2050,100000,O,O,Hcp,TOOWOOMBA CUP,HUMMA,TOPPING,ARIZONA SUNSET
31/03/2011,538,4,QLD,TOO TC,TWBA,WEETWOOD HANDICAP,1300,150000,O,O,Hcp,WEETWOOD HANDICAP,LUCKY LEAK,CRAIGLEA FALCON,SILVER SCHOLAR
2/04/2011,3,1,NSW,STC,RHIL,THE BMW,2400,2250000,3YO&Up,O,WFA,H E TANCRED STAKES,CEDARBERG,MOURAYAN,LINTON
2/04/2011,7,1,NSW,STC,RHIL,GOLDEN SLIPPER STAKES,1200,3500000,2-Y-O,O,SW,GOLDEN SLIPPER STAKES,SEPOY,MOSHEEN,ELITE FALLS
2/04/2011,277,1,NSW,STC,RHIL,GEORGE RYDER STAKES,1500,400000,3YO&Up,O,WFA,GEORGE RYDER STAKES,RANGIRANGDOO,LOVE CONQUERS ALL,TRIPLE ELEGANCE
2/04/2011,415,1,NSW,STC,RHIL,QUEEN OF THE TURF STAKES,1500,400000,3YO&Up,F&M,WFA,QUEEN OF THE TURF STAKES,MORE JOYOUS,MELITO,HAPPY HIPPY
2/04/2011,484,1,NSW,STC,RHIL,STORM QUEEN STAKES,2000,400000,3-Y-O,F,SW,STORM QUEEN STAKES,MIRJULISA,FIBRILLATION,BRAZILIAN PULSE
2/04/2011,174,2,NSW,STC,RHIL,TULLOCH STAKES,2000,175000,3-Y-O,C&G,SW,TULLOCH STAKES,FAST CLIP,I THINK I DO,SHOOT OFF
2/04/2011,126,3,NSW,STC,RHIL,T L BAILLIEU HCP,1400,125000,2-Y-O,O,Hcp,T L BAILLIEU HCP,DO YOU THINK,COCKY RAIDER,SATIRICAL BOY
2/04/2011,467,3,WA,WATC,ASCT,W.A. SIRES' PRODUCE STAKES,1400,200000,2-Y-O,O,SW,WATC SIRES PRODUCE,BLISS STREET,SINGLE SPICE,VALLEY GIRL
2/04/2011,481,3,NSW,STC,RHIL,STAR KINGDOM STAKES,1100,125000,3YO&Up,O,Qlty,STAR KINGDOM STKS,SWIFT ALLIANCE,NEWS ALERT,CARDINAL VIRTUE
2/04/2011,529,3,WA,WATC,ASCT,W.A. OAKS,2400,250000,3-Y-O,F,SW,WA OAKS,DREAMAWAY,PLAYING GOD,RIO DANE
2/04/2011,572,3,NSW,STC,RHIL,QUEEN'S CUP,2000,125000,3YO&Up,O,Qlty,NEVILLE SELLWOOD STAKES,SYREON,BEIJING BOY,BASE
2/04/2011,633,4,WA,WATC,ASCT,MISS ANDRETTI STAKES,1200,100000,3YO&Up,O,Qlty,RUABON SPRINT,MEKONG MISS,ESCADAIRE,HENRY DE HORSE
3/04/2011,402,4,WA,PINJARRA RC,PINJ,PINJARRA CUP,2300,100000,3YO&Up,O,Qlty,PINJARRA CUP,BATTLE EMBLEM,TEST THE ANGELS,VOLCANIC CAUSEWAY
