MeetDate,G ID,Grp,State,Club,Venue,Current Race Name,Dist,Prize$$,Age,Sex,Cond,Registered Race Name,WINNER,SECOND,THIRD
20/02/2010,124,2,VIC,MRC,CAUL,SCHWEPPERVESCENCE CUP,1400,125000,3-Y-O,O,SWP,AUTUMN STAKES,DENMAN,GURU BOB,MOST IMMEDIATE
20/02/2010,170,3,VIC,MRC,CAUL,CARLYON CUP,1400,125000,O,O,SWP,T S CARLYON CUP,RIGHTFULLY YOURS,ROAD TO ROCK,DELAYEDREACTION
20/02/2010,562,3,VIC,MRC,CAUL,MANNERISM STAKES,1400,125000,4YO&Up,M,SWP,MANNERISM STAKES,TOOTSIE,BE POSITIVE,FLYING TESSIE
20/02/2010,397,4,NSW,STC,RHIL,PARRAMATTA CUP,2000,100000,3YO&Up,O,Qlty,PARRAMATTA CUP,DELTONA,LA BELLE CHATAIGNE,WALK IN THE PARK
20/02/2010,629,4,NSW,STC,RHIL,TRISCAY STAKES,1200,100000,3YO&Up,F&M,Qlty,TRISCAY STAKES,PATRONYME,MARY'S GRACE,DANE JULIA
20/02/2010,383,4,SA,SAJC,MORP,H C NITSCHKE STAKES,1400,70000,3-Y-O,O,SWP,H C NITSCHKE STAKES,IM DISCREET,BABY CORN,FURLINE
20/02/2010,631,4,SA,SAJC,MORP,REDELVA STAKES,1000,70000,3-Y-O,O,SWP,REDELVA STAKES,HOONESS,LUCE DEL MARE,HAPPY HIPPY
21/02/2010,500,4,TAS,TTC,LAUN,TAS OAKS,2100,150000,3-Y-O,F,SW,TASMANIAN OAKS,COULIS,VIMY,LOVE THE MOMENT
21/02/2010,374,4,TAS,TTC,LAUN,TATTS GEORGE ADAMS PL,1600,100000,O,O,WFA,MOWBRAY STAKES,LIFE TO THE FULL,MYSTERY QUEST,LYELL
21/02/2010,701,4,WA,PINJARRA RC,PINJ,PINJARRA CLASSIC,1300,80000,3YO&Up,O,Qlty,PINJARRA STKS,GLORY HUNTER,SPITFIRE ACE,FIM MARU
24/02/2010,41,3,TAS,TTC,LAUN,LAUNCESTON CUP,2400,300000,O,O,Hcp,LAUNCESTON CUP,LARRY'S NEVER LATE,DREAM PEDLAR,GROWL
24/02/2010,709,4,TAS,TTC,LAUN,VAMOS STAKES,1400,100000,3YO&Up,F&M,WFA,VAMOS STAKES,IM A HUSSY,MOULIN ROUGE,ROSES FOR CLAIRE
27/02/2010,17,1,VIC,MRC,CAUL,FUTURITY STAKES,1600,500000,O,O,WFA,FUTURITY STAKES,TYPHOON TRACY,DAO DAO,SNIPER'S BULLET
27/02/2010,25,2,NSW,STC,RHIL,SILVER SLIPPER STAKES,1100,200000,2-Y-O,O,SW,SILVER SLIPPER STAKES,CHANCE BYE,AMBER WALTZ,ZUTARA
27/02/2010,310,2,NSW,STC,RHIL,HOBARTVILLE STAKES,1400,200000,3-Y-O,O,SW,HOBARTVILLE STAKES,EXTRA ZERO,ABSOLUTE FAITH,MONEY ROCKS
27/02/2010,180,2,VIC,MRC,CAUL,CAULFIELD AUTUMN STAKES,1800,175000,3-Y-O,O,SW,CAULFIELD AUTUMN CLASSIC,MONTON,SHOOT OUT,CAPTAIN SONADOR
27/02/2010,647,3,NSW,STC,RHIL,MILLIE FOX QLTY STAKES,1300,125000,3YO&Up,F&M,Qlty,MILLIE FOX STAKES,MOMENT IN TIME,DOLPHIN JO,CAPECOVER
27/02/2010,541,3,SA,SAJC,MORP,TOOHEYS NEW STAKES,2600,125000,O,O,SWP,LORD REIMS STAKES,SHRAPNEL,YOSEI,SPIRITED PRINCESS
27/02/2010,540,3,SA,SAJC,MORP,BREEDERS' STAKES,1200,100000,2-Y-O,O,SW,BREEDERS STAKES,MONTANA FLYER,CHAKVETADZE,SUBTLE COVE
27/02/2010,681,4,QLD,BRC,E FM,FALVELON QUALITY,1200,100000,O,O,Hcp,FALVELON QUALITY,MOTSPUR,NUCLEAR MEDICINE,THE JACKAL
27/02/2010,303,4,VIC,MRC,CAUL,W. J. (BILL) ADAMS STAKES,1200,100000,O,O,Hcp,W J ADAMS STAKES,VELOCITEA,TIME MATTERS,SOLCHOW
